,gdp-1,gdp-0
2000-02-02,1.389743239240881,1.4190054603060385
2000-03-21,1.389743239240881,1.688650203357069
2000-05-16,1.7725624451001316,1.321205683176201
2000-06-28,1.7725624451001316,1.3223122205993005
2000-08-22,1.3389102819457352,1.2728736482517027
2000-10-03,1.3389102819457352,1.3827541939554862
2000-11-15,1.3827541939554862,0.6792647200850003
2000-12-19,1.3827541939554862,0.5859060618742594
2001-01-03,1.3827541939554862,0.5429825408578305
2001-01-31,1.3827541939554862,0.5429825408578305
2001-03-20,0.5429825408578305,0.26362132451038717
2001-04-18,0.5429825408578305,0.2582848604514726
2001-05-15,0.2582848604514726,0.49181898506444643
2001-06-27,0.2582848604514726,0.32787932337629766
2001-08-21,0.3097820879951302,0.18319138679094074
2001-09-17,0.3097820879951302,0.04178049172424486
2001-10-02,0.3097820879951302,0.07713321549092857
2001-11-06,0.07713321549092857,-0.08884892471392884
2001-12-11,0.07713321549092857,-0.2665467741417671
2002-01-30,0.07713321549092857,-0.3350567883790005
2002-03-19,-0.3350567883790005,0.3469238700807816
2002-05-07,0.4102938649252527,1.4280213080033375
2002-06-26,0.4102938649252527,1.3659799328241546
2002-08-13,1.4975504353593052,0.26379870129868965
2002-09-24,1.4975504353593052,0.2819548872180412
2002-11-06,0.3118591934381291,0.7750947574634928
2002-12-10,0.3118591934381291,0.9752565904348235
2003-01-29,0.3118591934381291,0.9922916400494095
2003-03-18,0.9922916400494095,0.35738382390148893
2003-05-06,0.3436788395040942,0.3971339118740862
2003-06-25,0.3436788395040942,0.4696266100733217
2003-08-12,0.355109159294817,0.5873115577889485
2003-09-16,0.355109159294817,0.7694723618090452
2003-10-28,0.355109159294817,0.8103015075376847
2003-12-09,0.8103015075376847,1.9918167279373697
2004-01-28,0.8103015075376847,1.9906106937006223
2004-03-16,1.9906106937006223,1.0111406543347567
2004-05-04,1.0197177192631348,1.0235752492901011
2004-06-30,1.0197177192631348,0.9622550730653484
2004-08-10,0.9622550730653484,0.7525122692217808
2004-09-21,0.9622550730653484,0.690815611124091
2004-11-10,0.8151437251694389,0.9151854015410619
2004-12-14,0.8151437251694389,0.9736014910011405
2005-02-02,0.985655604699243,0.777706363052068
2005-03-22,0.985655604699243,0.9393076852446909
2005-05-03,0.9484895785510905,0.7631227090401523
2005-06-30,0.9484895785510905,0.9268439100261178
2005-08-09,0.9268439100261178,0.8427809042393674
2005-09-20,0.9268439100261178,0.8118698462629539
2005-11-01,0.8173247388470308,0.9378494390938932
2005-12-13,0.8173247388470308,1.0541788406738055
2006-01-31,1.0199112650145956,0.2785142336841607
2006-03-28,1.0199112650145956,0.4043812431375797
2006-05-10,0.41062995991894524,1.1832899193655964
2006-06-29,0.41062995991894524,1.3015300089791477
2006-08-08,1.3806530764648979,0.6088508713018242
2006-09-20,1.3806530764648979,0.7175426814181253
2006-10-25,1.3806530764648979,0.6335937223852173
2006-12-12,0.6335937223852173,0.5479403939199659
2007-01-31,0.6335937223852173,0.4864727215250975
2007-03-21,0.4864727215250975,0.5505308690523004
2007-05-09,0.607331673002141,0.31355858594632474
2007-06-28,0.607331673002141,0.16242508468688202
2007-08-07,0.17197950143315618,0.8350419711546823
2007-08-10,0.17197950143315618,0.8350419711546823
2007-08-16,0.17197950143315618,0.8350419711546823
2007-09-18,0.17197950143315618,0.9743616704344226
2007-10-31,0.17197950143315618,0.9419413630548691
2007-12-11,0.9419413630548691,1.2083228444197438
2008-01-21,0.9419413630548691,1.2048506523380809
2008-01-30,0.9419413630548691,1.2048506523380809
2008-03-10,1.2048506523380809,0.15610392061001233
2008-03-18,1.2048506523380809,0.15610392061001233
2008-04-30,1.2048506523380809,0.14409592671693808
2008-06-25,0.14409592671693808,0.22439768065297075
2008-08-05,0.23895783550450622,0.46883049974240393
2008-10-07,0.23895783550450622,0.6989524300188875
2008-10-29,0.23895783550450622,0.6989524300188875
2008-12-16,0.6989524300188875,-0.1287582925456654
2009-01-28,0.6989524300188875,-0.12790558862151882
2009-03-18,-0.12790558862151882,-1.6000136607356275
2009-04-29,-0.12790558862151882,-1.6247737440661116
2009-06-24,-1.6247737440661116,-1.4615391291518007
2009-08-12,-1.4025221096848697,-0.2553112476209634
2009-09-23,-1.4025221096848697,-0.2545375771736243
2009-11-04,-0.18490723691336158,0.8719916288803629
2009-12-16,-0.18490723691336158,0.688292059062894
2010-01-27,-0.18490723691336158,0.5541991241328528
2010-03-16,0.5541991241328528,1.449934479303171
2010-04-28,0.5541991241328528,1.3605179989208356
2010-05-09,1.3605179989208356,0.8000304194075875
2010-06-23,1.3605179989208356,0.7505988820867768
2010-08-10,0.6775923038898845,0.5913782080555358
2010-09-21,0.6775923038898845,0.40110207933754016
2010-11-03,0.4269796328431848,0.4986775193446036
2010-12-14,0.4269796328431848,0.6252415706068254
2011-01-26,0.4269796328431848,0.6335781248815858
2011-03-15,0.6335781248815858,0.6898369544752824
2011-04-27,0.6335781248815858,0.7696652483337781
2011-06-22,0.7696652483337781,0.45737517469189887
2011-08-09,0.475311456052363,0.31902267177708277
2011-09-21,0.475311456052363,0.24644879383727095
2011-11-02,0.3318742959955824,0.6103166111605057
2011-12-13,0.3318742959955824,0.4972950165011528
2012-01-25,0.3318742959955824,0.4505794240419619
2012-03-13,0.4505794240419619,0.7373458549611395
2012-04-25,0.4505794240419619,0.7305949773470524
2012-06-20,0.7305949773470524,0.461687392955544
2012-08-01,0.4646660212971899,0.38204110643843187
2012-09-13,0.4646660212971899,0.43016643961381545
2012-10-24,0.4646660212971899,0.311704081028256
