,price-1,price-0
2000-02-02,0.26889465091712395,0.5076142131979706
2000-03-21,0.26889465091712395,0.49803658653386673
2000-05-16,0.4873387482083047,0.6656523392925093
2000-06-28,0.4873387482083047,0.6656523392925093
2000-08-22,0.7512362114872635,0.621644532353769
2000-10-03,0.7512362114872635,0.5933879627013238
2000-11-15,0.5933879627013238,0.4962546816479412
2000-12-19,0.5933879627013238,0.4775280898876452
2001-01-03,0.5933879627013238,0.3932584269662937
2001-01-31,0.5933879627013238,0.3932584269662937
2001-03-20,0.3932584269662937,0.4756575265808666
2001-04-18,0.3932584269662937,0.4943107629173672
2001-05-15,0.4943107629173672,0.7795823665893303
2001-06-27,0.4943107629173672,0.7981438515081202
2001-08-21,0.7981438515081202,0.5614358030372751
2001-09-17,0.7981438515081202,0.5522319374137086
2001-10-02,0.7981438515081202,0.5246203405430218
2001-11-06,0.5246203405430218,0.5310382713788667
2001-12-11,0.5246203405430218,0.5310382713788667
2002-01-30,0.5246203405430218,0.5585057681743265
2002-03-19,0.5585057681743265,-0.0637348629700384
2002-05-07,-0.027314941272877296,0.20036429872495343
2002-06-26,-0.027314941272877296,0.23679417122040541
2002-08-13,0.3096539162112964,0.2905393136008654
2002-09-24,0.3096539162112964,0.28145996005084645
2002-11-06,0.3086980207009292,0.2805937726285321
2002-12-10,0.3086980207009292,0.24438812454742578
2003-01-29,0.3086980207009292,0.25343953656770557
2003-03-18,0.25343953656770557,0.40628385698807207
2003-05-06,0.44239797760924054,0.62921348314607
2003-06-25,0.44239797760924054,0.6202247191011215
2003-08-12,0.5842696629213534,0.2412868632707739
2003-09-16,0.5842696629213534,0.21447721179624207
2003-10-28,0.5842696629213534,0.2502234137622888
2003-12-09,0.2502234137622888,0.418969513282224
2004-01-28,0.2502234137622888,0.40781487101669844
2004-03-16,0.40781487101669844,0.29942382166807696
2004-05-04,0.37782185699441906,0.6144725698692065
2004-06-30,0.37782185699441906,0.7048085066340543
2004-08-10,0.7048085066340543,0.7892726018972441
2004-09-21,0.7048085066340543,0.796727360828973
2004-11-10,0.796727360828973,0.31524743688118423
2004-12-14,0.796727360828973,0.3235677504645587
2005-02-02,0.35315108764988584,0.49746202245948173
2005-03-22,0.35315108764988584,0.5195714456799043
2005-05-03,0.5601053882506878,0.8052473914198468
2005-06-30,0.5601053882506878,0.7136379043413702
2005-08-09,0.7136379043413702,0.596665164488501
2005-09-20,0.7136379043413702,0.6020730058584878
2005-11-01,0.63542136097341,0.7711253414535885
2005-12-13,0.63542136097341,0.7442568626572953
2006-01-31,0.8168017554072741,0.7462222498600863
2006-03-28,0.8168017554072741,0.8181793953823114
2006-05-10,0.857267227517837,0.8050593665222153
2006-06-29,0.857267227517837,0.8138674558714781
2006-08-08,0.7724694359299665,0.8158862978071989
2006-09-20,0.7724694359299665,0.8254542607878766
2006-10-25,0.7724694359299665,0.8158862978071989
2006-12-12,0.8158862978071989,0.43915275441094026
2007-01-31,0.8158862978071989,0.46676157197704743
2007-03-21,0.46676157197704743,0.41049069955173095
2007-05-09,0.4156433024749746,0.9775079107158012
2007-06-28,0.4156433024749746,0.9852048233986033
2007-08-07,1.0271102368938623,0.666947368421054
2007-08-10,1.0271102368938623,0.666947368421054
2007-08-16,1.0271102368938623,0.666947368421054
2007-09-18,1.0271102368938623,0.6635789473684183
2007-10-31,1.0271102368938623,0.6543157894736851
2007-12-11,0.6543157894736851,0.2334200640859357
2008-01-21,0.6543157894736851,0.25935562676215607
2008-01-30,0.6543157894736851,0.25935562676215607
2008-03-10,0.25935562676215607,0.6617321862196084
2008-03-18,0.25935562676215607,0.6617321862196084
2008-04-30,0.25935562676215607,0.6033195089997238
2008-06-25,0.6033195089997238,0.6420039814200406
2008-08-05,0.6660583941605817,0.263129764087727
2008-10-07,0.6660583941605817,0.2779308133176501
2008-10-29,0.6660583941605817,0.2779308133176501
2008-12-16,0.2779308133176501,1.0282818509073357
2009-01-28,0.2779308133176501,0.9700617461111487
2009-03-18,0.9700617461111487,0.12181850666753755
2009-04-29,0.9700617461111487,0.13643672746764204
2009-06-24,0.13643672746764204,0.7023405946375563
2009-08-12,0.6958524598141067,0.05927357948586801
2009-09-23,0.6958524598141067,0.009119012228600063
2009-11-04,-0.0045595061142935525,0.19515575983074215
2009-12-16,-0.0045595061142935525,0.13223170642736926
2010-01-27,-0.0045595061142935525,0.09757787991537108
2010-03-16,0.09757787991537108,0.0929274892267792
2010-04-28,0.09757787991537108,0.1266364804168944
2010-05-09,0.1266364804168944,0.21291696238466512
2010-06-23,0.1266364804168944,0.2602318429145979
2010-08-10,0.2693308584011139,0.4547149392046126
2010-09-21,0.2693308584011139,0.47472239652960774
2010-11-03,0.478360116043249,0.5638774494275283
2010-12-14,0.478360116043249,0.5665927501470831
2011-01-26,0.478360116043249,0.5204326379146516
2011-03-15,0.5204326379146516,0.10444804610120625
2011-04-27,0.5204326379146516,0.09544390419592522
2011-06-22,0.09544390419592522,0.4722667002500816
2011-08-09,0.5055502581724607,0.577453510098764
2011-09-21,0.5055502581724607,0.601476999733074
2011-11-02,0.6237209716166859,0.62427602550159
2011-12-13,0.6237209716166859,0.6233917818394148
2012-01-25,0.6237209716166859,0.6366554367721685
2012-03-13,0.6366554367721685,0.22054107247980473
2012-04-25,0.6366554367721685,0.21966242278865836
2012-06-20,0.21966242278865836,0.41556710882772335
2012-08-01,0.5023627707980758,0.3874075108194913
2012-09-13,0.5023627707980758,0.3970054446460965
2012-10-24,0.5023627707980758,0.38566243194191774
2012-12-12,0.38566243194191774,0.6753585397653203
