date,lg,g,g1,g2,lp,p,p1,p2,corecpi,trend,actual,gdpgap,lftd,ftd,lftd2,ftd2,lr,r
2000-02-02,4.271321462043116,4.246350702143372,3.688109337356163,2.235484410731234,1.309916553463996,1.6072811773818714,1.6192,1.7789,2.0557166666666666,3.2063593968719495,4.158666882290163,0.9523074854182134,0.0,1.0,0.0,1.0,5.5,5.75
2000-03-21,4.271321462043116,4.523512564671088,3.1239960562319293,3.0712071580891407,1.309916553463996,1.597598760650664,1.7649,1.7072,1.992,3.2075444099016526,4.424186072679426,1.2166416627777732,1.0,1.0,1.0,1.0,5.75,6.0
2000-05-16,4.603275652526196,5.035789666880793,3.1239960562319293,3.0712071580891407,1.594048884165773,1.759107949629913,1.7649,1.7072,2.14123,3.175188079400093,4.913096006220741,1.7379079268206477,1.0,1.0,1.0,2.0,6.0,6.5
2000-06-28,4.603275652526196,5.036936771588515,4.136164078369661,3.5548366642767517,1.594048884165773,1.759107949629913,2.4403,2.0589,2.303713333333333,3.1751928237318428,4.914188108681827,1.7389952849499846,1.0,0.0,2.0,0.0,6.5,6.5
2000-08-22,5.289805269186704,5.9841515620730314,4.136164078369661,3.5548366642767517,1.8417266187050376,2.102647424256908,2.4403,2.0589,2.3531366666666664,3.203296252211474,5.8119383380359935,2.6086420858245196,0.0,0.0,0.0,0.0,6.5,6.5
2000-10-03,5.289805269186704,6.099143820020025,3.3559642488827937,3.183159509529269,1.8417266187050376,2.0739749593806764,2.1514,2.2534,2.519233333333333,3.2037552320783202,5.9203790042454685,2.7166237721671482,0.0,0.0,0.0,0.0,6.5,6.5
2000-11-15,6.099143820020025,5.349322913157734,3.3559642488827937,3.183159509529269,2.0739749593806764,2.3164918970447976,2.1514,2.2534,2.53283,3.218264721769959,5.211152721874512,1.9928880001045535,0.0,0.0,0.0,0.0,6.5,6.5
2000-12-19,6.099143820020025,5.25163376675875,3.209780222122677,3.274146715718477,2.0739749593806764,2.2974261201143915,2.1413,2.2429,2.5597333333333334,3.217882075341305,5.118380917847176,1.900498842505871,0.0,0.0,0.0,0.0,6.5,6.5
2001-01-03,6.099143820020025,5.206719216690256,3.209780222122677,3.274146715718477,2.0739749593806764,2.2116301239275433,2.1413,2.2429,2.5597333333333334,3.2177060272278624,5.075698315694588,1.8579922884667255,0.0,-1.0,0.0,-2.0,6.5,6.0
2001-01-31,6.099143820020025,5.206719216690256,3.209780222122677,3.274146715718477,2.0739749593806764,2.2116301239275433,2.1413,2.2429,2.5746,3.2177060272278624,5.075698315694588,1.8579922884667255,-1.0,-1.0,-2.0,-2.0,6.0,5.5
